Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:31:42
Elapsed Time,00:03:04:999
Samples,61381

--Statistics--
Minimum [W],1.9326E-05
Maximum [W],0.00052581
Mean [W],0.00016518
Standard Deviation [W],0.00015673
Ratio,27.207 : 1

--Graph Data--
Time (ms),Power (W)
2499.210,3.1355E-05
2502.209,2.9534E-05
2505.183,2.8122E-05
2508.179,2.6895E-05
2511.203,2.5867E-05
2514.158,2.5025E-05
2517.188,2.6709E-05
2520.191,0.00014639
2523.185,0.00023824
2526.187,0.00031023
2529.190,0.00036754
2532.213,0.00041408
2535.192,0.00045209
2538.195,0.00048327
2541.192,0.00050888
2544.188,0.00041224
2547.188,0.00033293
2550.188,0.0002729
2553.191,0.000226
2556.188,0.00018791
2559.197,0.00015675
2562.184,0.00013165
2565.202,0.00011173
2568.181,9.5688E-05
2571.175,8.2618E-05
2574.179,7.1878E-05
2577.181,6.2995E-05
2580.186,5.5686E-05
2583.184,4.964E-05
2586.179,4.4697E-05
2589.183,4.0547E-05
2592.179,3.7103E-05
2595.146,3.439E-05
2598.182,3.2074E-05
2601.183,3.0116E-05
2604.180,2.858E-05
2607.161,2.7304E-05
2610.181,2.6177E-05
2613.176,2.5248E-05
2616.166,2.4591E-05
2619.164,8.1206E-05
2622.150,0.00018716
2625.181,0.00027043
2628.187,0.0003356
2631.496,0.00039325
2634.493,0.00043511
2637.491,0.00046934
2640.489,0.00049741
2643.485,0.00052047
2646.489,0.00044025
2649.488,0.0003541
2652.488,0.00028948
2655.496,0.00023943
2658.490,0.00019911
2661.502,0.00016599
2664.861,0.00013656
2667.860,0.00011562
2670.862,9.8909E-05
2673.865,8.5319E-05
2676.862,7.412E-05
2679.862,6.4816E-05
2682.867,5.7235E-05
2685.864,5.0929E-05
2688.863,4.5738E-05
2691.844,4.1415E-05
